procodigo,pronome
908,1 LITRO DE SUCO DE LARANJA RECOMPENSA
552,1 LTR VINHO BRANCO SECO CAPELETI
553,1 LTR VINHO BRANCO SUAVE CAPELETI
546,1 LTR VINHO TINTO SECO CAPELETI
547,1 LTR VINHO TINTO SUAVE CAPELETI 
1014,1 PACOTE DE FIGURINHA DA COPA RECOMPENSA
991,10 ML DE LIMÃO
990,100 ML DE GIN
1377,2 BROTINHO  +  CALABRESA + BORDA CATUPIRY
1020,20 CM PAULISTINHA + FANTA LATA + COPO CANUDO AIQFOME
1015,4 PACOTES DE FIGURINHAS DA COPA RECOMPENSA
874,500 ML VINHO TINTO SECO
968,AA
325,ABACAXI
826,ABACAXI
80,ABACAXI COM CANELA
481,ABACAXI COM HORTELÃ
760,ABACAXI E HORTELÃ
805,ABACAXI EM CALDA
1150,ABACAXI EM CALDA
1154,ABACAXI EM CALDA
1346,ABOBRINHA
1070,AÇAFRÃO
575,AÇAI 
635,AÇAI
865,AÇAI 
792,AÇAI 250 ML 3 ADICIONAIS GRÁTIS
582,AÇAI 250 ML PURO
808,AÇAI 250 ML PURO
1375,AÇAI 250ML 3 ADICIONAL GRÁTIS
793,AÇAI 400 ML 3 ADICIONAI GRÁTIS
850,AÇAI 400 ML 3 ADICIONAIS GRATIS RECOMPENSA
1376,AÇAI 400 ML 3 ADICIONAL GRÁTIS
583,AÇAI 400 ML PURO
809,AÇAI 400 ML PURO
899,AÇAI 400ML 3 ADICIONAIS GRATIS RECOMPENSA
794,AÇAI 700 ML 3 ADICIONAI GRÁTIS
643,AÇAÍ 700 ML PURO
807,AÇAI 700 ML PURO
1035,AÇAI BALDE 5 KG
634,AÇAI KUSKÃO 400 ML
639,AÇAI SEDUÇÃO 250 ML
636,AÇAÍ SEDUÇÃO 400 ML
1412,ACEM SEM OSSO
1370,ACENDEDOR
323,ACEROLA
743,ACRESCIMO DO LANCHE
818,AÇUCAR 
1215,AÇUCAR CRISTAL
1216,AÇUCAR REFINADO
1233,AÇUCAR SACHE
744,ADICIONAL DO LANCHE
1027,AGUA COM GÁS
653,ÁGUA GASEIFICADA
308,ÁGUA MINERAL COM GÁS
307,ÁGUA MINERAL SEM GÁS
1288,AGUA SANITARIA QBOA
992,AGUA TÔNICA
1200,AGUARDENTE YPIOCA OURO
1201,AGUARDENTE YPIOCA OURO
1043,AGULHA PARANA P/ DESENT FOGAO
884,AIQFOME 3,00
287,ALCAPARRAS
1240,ALCAPARRAS
1137,ALCOOL 70
1050,ALCOOL START GEL
1298,ALECRIM
92,ALFACE
879,ALFACE
1228,ALFACE
18,ALHO
730,ALHO
731,ALHO
1195,ALHO
266,ALHO E OLHO
1341,ALMEIRAO
557,ALPHINO 
60,AMEIXA
804,AMEIXA EM CALDA
1151,AMEIXA EM CALDA
1258,AMENDOIM TORRADO GRANULADO
863,AMENDOIN
1113,AMIDO DE MILHO
1039,ANÉIS DE CEBOLA
965,ANÉIS DE CEBOLA FRITA
339,ANTARCTICA 600 ML
120,APARMEGIANA
213,APARMEGIANA DE FRANGO
1387,APENAS FRANGO A PASSARINHO
1395,APLICADOR
1237,APRESUNTADO FRIMEZA
1063,APRESUNTADO REZENDE
46,ARROZ
679,ARROZ
680,ARROZ
681,ARROZ
682,ARROZ
1212,ARROZ
248,ARROZ À GREGA
435,ARROZ Á GREGA
959,ATÉ 19 HORAS SALÃO FRANGO A PASSARINHO COM BATATA FRITA
17,ATUM
1134,ATUM RALADO NATURAL
668,AVELÃ
1086,AVENTAL 75X55 BRANCO
1189,AZEITE
15,AZEITONA
727,AZEITONA
916,AZEITONA
1249,AZEITONA PRETA
1094,AZEITONA VERDE
12,BACON
720,BACON
722,BACON
890,BACON
1037,BACON EXCELENCIA PICADO
1306,BACON EXELENCIA INTEIRO
447,BALCÃO
551,BALDE HEINEKEN 5 UND. ATÉ 20 HORAS
1181,BALDE PRETO 12LTS
57,BANANA
745,BANANA
944,BANANA
247,BANANA À MILANESA
75,BANANA COM CANELA
1182,BANANA NANICA
1278,BAND ALUMINIO
1128,BANHA REFINADA 
1184,BANHA SADIA
573,BARBECUE
751,BARBECUE
1211,BATATA
757,BATATA  PALHA
200,BATATA C/ BACON GRATINADO E C/ PARMESÃO
253,BATATA CORADA
856,BATATA COURADA
663,BATATA DOCE
1199,BATATA DOCE
102,BATATA FRITA
164,BATATA FRITA
690,BATATA FRITA
691,BATATA FRITA
692,BATATA FRITA
693,BATATA FRITA
694,BATATA FRITA
624,BATATA FRITA COM BACON E CHEDDAR
947,BATATA FRITA COM BARBECUE 
905,BATATA FRITA COM FRANGO A PASSARINHO
852,BATATA FRITA INDIVIDUAL RECOMPENSA
56,BATATA PALHA
678,BATATA PALHA
687,BATATA PALHA
688,BATATA PALHA
689,BATATA PALHA
756,BATATA PALHA
1081,BATATA PALHA 
288,BATATA SOUTÊ
1038,BATATA TRADICIONAL PALITO
439,BATON
803,BATON
938,BATON
468,BETERABA
1287,BETERRABA 
1262,BICARBONATO DE SODIO
747,BIS
1355,BIS
1348,BLACK LABEL
1256,BOBINA 20X30
1203,BOBINA 35X47
1204,BOBINA 40X60
1093,BOBINA IMPRESSORA 8CMX40MT
1368,BOLACHA DE CHOPP
787,BOLINHO FIT DE FRANGO
802,BOLLS DE CHOCOLATE BRANCO E PRETO
1451,Bolls de Chocolate Preto
1327,BOLO
1417,BORDA CATUPIRY 
427,BORDA CHEDDER
470,BORDA CHOCOLATE BRANCO
1418,BORDA CHOCOLATE PRETO
428,BORDA CREME DE MILHO
425,BORDA DE BRIGADEIRO
466,BORDA DE CALABRESA RALADA
426,BORDA DE CATUPIRY
455,BORDA DE CHOCOLATE PRETO
429,BORDA DE GOIABADA
457,BORDA DE MUSSARELA
431,BORDA DE PRESTÍGIO
430,BORDA DE PRESUNTO E MUSSARELA
505,BORDA FRANGO C/ MUSSARELA
424,BORDA FRANGO CATUPIRY
537,BORDA METRO AIQFOME
521,BORDA REDONDA AIQFOME
1421,BOX BACON
1422,BOX BACON PIRY
1437,BOX BRIGADEIRO
1444,BOX BRIGADEIRO RECOMPENSA
1419,BOX CALABRESA
1447,BOX CALABRESA RECOMPENSA
1423,BOX CARNE SECA
1438,BOX CHOCOLATE BRANCO
1436,BOX CONFETES
1446,BOX COSTELA CREAM CHEESE
1424,BOX ESTROGONOFF C/ PALHA
1425,BOX FILÉ AO QUATRO QUEIJO
1426,BOX FILÉ CREAM CHEESE
1420,BOX FRANGO CATUPIRY
1427,BOX MARGHERITA
1428,BOX MODA DA CASA
1429,BOX MODA SORRISO
1450,BOX NUTELLA COM LEITE NINHO
1430,BOX PEPPERONI MODA KUSKÃO
1431,BOX PORTUGUESA
1432,BOX PRESTÍGIO
1433,BOX QUATRO QUEIJO 
1434,BOX SALAME PRIME
1435,BOX SENSAÇÃO
868,BR 163 TAXA ENTREGA
516,BR 242 PEDÁGIO
335,BRAHMA 600ML
919,BRAHMA DUPLO MALTE 600 ML
484,BRAHMA EXTRA 600 ML
627,BRAHMA LATA ZERO
501,BRAHMA LONG ZERO
497,BRAHMA MALZEMBIER LONG NECK
368,BRAHMA PALITO
186,BRASILEIRA
515,BRIGADEIRO
666,BRIGADEIRO DE COLHER
646,BRINQUEDÃO
72,BRÓCOLIS
1097,BROCOLIS
878,BRÓCULIS
1407,BROTINHO CALABRESA           +    COCA LATA        ********* COMBO PROMOCIONAL ******
962,BUDWEISER 600 ML
343,BUDWEISER LONG NECK
62,BURGUESA
362,BURGUESA 600 ML
823,CACHAÇA
1318,CACHORRÃO
1316,CACHORRO BACON
1319,CACHORRO CALABRESA
1315,CACHORRO DUPLO
597,CACHORRO FILÉ MIGNON
599,CACHORRO FILÉ MIGNON
1317,CACHORRO FRANGO DESFIADO
117,CACHORRO QUENTE ESPECIAL
116,CACHORRO QUENTE MODA KUSKÃO
1399,CACHORRO QUENTE MODA KUSKÃO PROMOCIONAL
983,CACHORRO QUENTE MODA KUSKÃO RECOMPENSA
914,CACHORRO QUENTE PROMOCIONAL A MODA KUSKÃO
1314,CACHORRO SIMPLES 
1044,CAFE 3 CORAÇÕES 500G
1051,CAFE BRASILEIRO
774,CAIPIRINHA ABACAXI COM MANGERICÃO
772,CAIPIRINHA BRASILEIRA
781,CAIPIRINHA DE FRUTA GRANDE
775,CAIPIRINHA DE FRUTA PEQUENA
394,CAIPIRINHA GRANDE
770,CAIPIRINHA KUSKÃO TROPICAL
393,CAIPIRINHA PEQUENA
779,CAIPIRINHA TRADICIONAL  PEQUENA
780,CAIPIRINHA TRADICIONAL GRANDE
771,CAIPIRÍSSIMA
395,CAIPIROSCA DE FRUTA GRANDE
580,CAIPIROSCA DE FRUTA PEQ
392,CAIPIROSCA GRANDE
773,CAIPIROSKA CREMOSA
778,CAIPIROSKA DE  FRUTA GRANDE
472,CAIPIROSKA DE FRUTA 400 ML
920,CAIPIROSKA DE FRUTA PEQUENA
776,CAIPIROSKA FROZEN
777,CAIPIROSKA TRADICIONAL GRANDE
391,CAIPIROSKA TRADICIONAL PEQUENA
842,CAJA
821,CAJU
8,CALABRESA
713,CALABRESA
869,CALABRESA
1036,CALABRESA EXCELENCIA FATIADA
1131,CALABRESA EXCELENCIA INTEIRA
25,CALABRESA RALADA
486,CALDO DE FEIJÃO 
857,CALDO DE FEIJÃO
211,CALDO DE FRANGO
277,CALDO DE FRANGO C PARMESAO E TORRADAS
1073,CALDO DE GALINHA
210,CALDO DE PACU 
1272,CALDO MAGGI
63,CALIFÓRNIA
620,CALZONE COM BORDA
202,CAMARÃO
967,CAMARÃO A MILANESA
979,CAMARÃO COM FRANGO A MILANESA
616,CANECO CHOPP HAPPY HOUR ATÉ AS 20 HORAS
349,CANECO COM GROSELHA
993,CANECO DE CHOPP PERSONALIZADO COM GEL RECOMPENSA
1021,CANECO DE VIDRO 360 ML
1022,CANECO DE VIDRO 360 ML GOSMEL
1023,CANECO DE VIDRO 360 ML GROSELIA
626,CANECO DE VIDRO 407 ML
628,CANECO DE VIDRO 407 ML GOSMEL
758,CANECO DE VIDRO 407 ML GROSELIA
351,CANECO GOSMEL
614,CANECO HAPPY HOUR ATÉ 20 HORAS
491,CANELA
1286,CANELA EM PÓ
1138,CANETA BIC
1121,CANUDO ARTISTICO
1087,CANUDO SACHE PRETO 6X21
1452,CAPA DE CHUVA
571,CAPUCCINO
1224,CARNE BOVINA BIFE VAZIO
1146,CARNE BOVINA FILÉ MIGNON
1226,CARNE BOVINA LAGARTO
1227,CARNE BOVINA PICANHA
73,CARNE MOÍDA
1225,CARNE MOIDA
542,CARNE SECA
14,CATUPIRY
685,CATUPIRY
725,CATUPIRY
726,CATUPIRY
494,CDB
10,CEBOLA
717,CEBOLA
718,CEBOLA
719,CEBOLA
894,CEBOLA
1220,CEBOLA
926,CEBOLA ROXA
1140,CEBOLA ROXA 
1313,CEBOLA ROXA AGRIDOCE
950,CEBOLA ROXA REFOGADA NA MANTEIGA
1271,CEBOLINHA CONCERVA
469,CENOURA
1196,CENOURA
458,CEREJA
799,CEREJA
945,CEREJA
1069,CEREJA LATA
36,CERVEJA ANTARTICA ORIGINAL
37,CERVEJA BOHEMIA
543,CERVEJA SERRAMALTE 600 ML
